object,init,strategy,seed,psnr,ssim,lpips,precision@0.5%,recall@0.5%,fscore@0.5%,chamfer,precision@1%,recall@1%,fscore@1%,precision@2%,recall@2%,fscore@2%,num_gs,round,n_views,train_s,signal_s,ig_s,ig_gains,select_s
bookcase,biased,ig,0,13.94712929725647,0.8613060732682546,0.24269818129638832,0.167915,0.6499524953892584,0.2668813074943012,0.2719918613985349,0.201035,0.8245906220309618,0.3232594274931054,0.25499,0.9478622925166266,0.40187046651112196,130612,0,10,77.56285262107849,1.3402695655822754,1.4065611362457275,"[11455, 4258, 3181, 2498, 1965]",1.4183580875396729
bookcase,biased,ig,0,25.712305863698322,0.9442310740550359,0.0809688377349327,0.50869,0.772173475660873,0.613331448351687,0.12989104108247398,0.59542,0.9518750349298608,0.73258870545478,0.70288,1.0,0.8255191205487175,129854,1,15,79.07967686653137,1.2263970375061035,1.0632431507110596,"[1007, 226, 166, 104, 93]",1.0683963298797607
bookcase,biased,ig,0,31.335878817240395,0.972857196132342,0.025422762248975536,0.733095,0.7589839602079025,0.745814881313096,0.008583940938938734,0.858265,0.9246241546973677,0.8902096331008748,0.99434,0.9997876264460962,0.9970563722163888,98572,2,20,78.95685935020447,1.2440905570983887,1.077544927597046,"[86, 22, 16, 15, 15]",1.0889313220977783
bookcase,biased,ig,0,33.6372044245402,0.9795123726129532,0.01895546498708427,0.793765,0.8181802939697088,0.8057877441280833,0.007248916106197149,0.89546,0.963795897837143,0.9283721253015426,0.99552,1.0,0.9977549711353432,96100,3,25,75.88548707962036,1.372298002243042,1.318016767501831,"[24, 8, 7, 5, 4]",1.327214002609253
bookcase,biased,ig,0,33.65687023798625,0.9801637401183446,0.019134708928565183,0.78584,0.8157882970994244,0.8005341520921134,0.007345379086440008,0.896575,0.9565528418934779,0.9255933075230792,0.994355,1.0,0.9971695109446412,101112,4,30,72.4072618484497,,,,
bookcase,biased,ig,1,13.383957735697429,0.8533980151017507,0.27510838912179075,0.14741,0.6569887665567541,0.24079279607224047,0.28898390262489243,0.1788,0.8326328731906332,0.2943838620883455,0.224925,0.9403118537975744,0.3630157131164018,134265,0,10,81.41367697715759,1.177391529083252,1.2445712089538574,"[12972, 8237, 3899, 2812, 2529]",1.2607038021087646
bookcase,biased,ig,1,26.139763355255127,0.9577375411987304,0.04929830551457902,0.66302,0.7459173978650869,0.7020299892413906,0.028552574593279447,0.79356,0.9169954730900353,0.8508241200863134,0.92434,0.9986083943441569,0.9600399947736464,89011,1,15,78.0243787765503,1.3867788314819336,1.3646388053894043,"[237, 148, 27, 21, 20]",1.3706271648406982
bookcase,biased,ig,1,32.34051036834717,0.9734489868084589,0.023858103404442468,0.7665,0.7975241714637009,0.7817043861346925,0.007736779446868118,0.882905,0.9437098306600347,0.9122953718029593,0.9906,0.9982004135695524,0.9943856838879501,96139,2,20,80.78903150558472,1.299062728881836,1.1771037578582764,"[27, 17, 15, 14, 10]",1.1857640743255615
bookcase,biased,ig,1,33.78245388666789,0.9771633595228195,0.020502219325862825,0.83561,0.8519309227072039,0.8436915380770076,0.006420919550929525,0.933875,0.9777622533951825,0.9553148462321416,0.993515,0.9994802436707092,0.9964886945355621,100897,3,25,77.2855749130249,1.2890493869781494,1.344635248184204,"[11, 8, 6, 5, 4]",1.3528025150299072
bookcase,biased,ig,1,34.19945367177328,0.9785592257976532,0.019276010803878307,0.82462,0.841351366456156,0.8329016665909598,0.006382017201911066,0.935955,0.9784608506119712,0.9567360457674648,0.99556,1.0,0.9977750606346089,103056,4,30,75.8844985961914,,,,
